game_name,game_params_json,n_players,index,max_order,ground_truth_method,budget,log_budget,metric,approximator_A,approximator_B,score_A,score_B,score_diff,label
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,250,5.521460917862246,mse,InconsistentKernelSHAPIQ,KernelSHAPIQ,0.005627252045559453,0.009370254974871511,-0.0037430029293120583,1
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,250,5.521460917862246,mse,InconsistentKernelSHAPIQ,SVARMIQ,0.005627252045559453,0.005630696417682169,-3.444372122716338e-06,1
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,250,5.521460917862246,mse,KernelSHAPIQ,SVARMIQ,0.009370254974871511,0.005630696417682169,0.003739558557189342,0
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,250,5.521460917862246,spearman,InconsistentKernelSHAPIQ,KernelSHAPIQ,0.0348140852857834,0.05262112101734743,-0.01780703573156403,0
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,250,5.521460917862246,spearman,InconsistentKernelSHAPIQ,SVARMIQ,0.0348140852857834,0.05777282465961711,-0.022958739373833713,0
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,250,5.521460917862246,spearman,KernelSHAPIQ,SVARMIQ,0.05262112101734743,0.05777282465961711,-0.005151703642269682,0
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,500,6.214608098422191,mse,InconsistentKernelSHAPIQ,KernelSHAPIQ,0.0028452356283061087,0.0049189192961426416,-0.002073683667836533,1
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,500,6.214608098422191,mse,InconsistentKernelSHAPIQ,SVARMIQ,0.0028452356283061087,0.0038410068162551257,-0.000995771187949017,1
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,500,6.214608098422191,mse,KernelSHAPIQ,SVARMIQ,0.0049189192961426416,0.0038410068162551257,0.0010779124798875159,0
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,500,6.214608098422191,spearman,InconsistentKernelSHAPIQ,KernelSHAPIQ,0.08079997426126248,0.07494012168703124,0.005859852574231245,1
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,500,6.214608098422191,spearman,InconsistentKernelSHAPIQ,SVARMIQ,0.08079997426126248,0.08623299277170456,-0.005433018510442075,0
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,500,6.214608098422191,spearman,KernelSHAPIQ,SVARMIQ,0.07494012168703124,0.08623299277170456,-0.01129287108467332,0
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,1000,6.907755278982137,mse,InconsistentKernelSHAPIQ,KernelSHAPIQ,0.002010737606499809,0.0033948261286882815,-0.0013840885221884725,1
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,1000,6.907755278982137,mse,InconsistentKernelSHAPIQ,SVARMIQ,0.002010737606499809,0.003112255027585755,-0.0011015174210859458,1
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,1000,6.907755278982137,mse,KernelSHAPIQ,SVARMIQ,0.0033948261286882815,0.003112255027585755,0.00028257110110252665,0
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,1000,6.907755278982137,spearman,InconsistentKernelSHAPIQ,KernelSHAPIQ,0.12234050919802383,0.09877705248557558,0.02356345671244825,1
AdultCensus,"{""model_name"": ""decision_tree"", ""normalize"": true, ""random_state"": 42, ""verbose"": false}",14,k-SII,2,ExactComputer,1000,6.907755278982137,spearman,InconsistentKernelSHAPIQ,SVARMIQ,0.12234050919802383,0.11516798101053141,0.007172528187492422,1
